i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,6.53840975767261,2870,1557
1,50,1,6,189,12,6.398215286620241,1432,1424
1,50,1,1,50,25,9.283939530957571,5341,1594
1,50,1,4,128,25,12.863864772930388,4841,1635
1,50,4,17,550,25,12.831812711667132,296,1646
1,50,2,8,266,50,23.46986504309605,16552,1871
1,50,8,35,1028,50,26.235421388276833,8344,1832
1,50,3,12,373,75,33.18304373971238,14756,1949
1,50,13,53,1702,75,37.98011971697176,4603,1900
1,100,1,1,100,25,10.811251841466628,21128,8052
1,100,1,4,240,25,13.98911116365817,42139,7819
1,100,4,17,1068,25,14.556587151503638,8394,7867
1,100,1,1,100,50,18.686159262351882,28743,8787
1,100,2,8,496,50,26.794922259085517,33672,8662
1,100,8,35,2201,50,35.77231056769289,22758,8237
1,100,5,20,1349,100,53.61725217776376,59229,9152
1,100,18,74,4730,100,65.6792482363773,33278,9503
1,100,7,28,1756,150,83.7285345136734,74519,9515
1,100,27,109,6564,150,72.9658858577457,25266,9074
1,250,1,1,250,62,26.225043022588515,160078,81900
1,250,3,12,1916,62,40.6220337405838,244223,82272
1,250,11,45,6885,62,40.78782055495864,114492,81787
1,250,1,1,250,125,45.9187588392915,233428,87112
1,250,6,24,3880,125,82.94714948329722,274965,86828
1,250,23,92,13931,125,75.59101440294437,140699,86527
1,250,12,48,7667,250,146.8422457212326,331091,91279
1,250,46,184,28442,250,154.53922887015375,97436,91162
1,250,18,72,11029,375,256.55320776747,151785,93401
1,250,69,276,42572,375,252.69801781027783,277484,96117
1,375,1,1,375,93,42.21207953985706,415878,237671
1,375,4,16,3727,93,59.03522718914135,553293,236624
1,375,16,66,14966,93,66.3466055553628,349226,238763
1,375,1,1,375,187,67.24469266628087,465473,250104
1,375,9,36,8481,187,115.19701222265213,710066,252788
1,375,34,137,32049,187,132.3725380879322,401555,251679
1,375,18,72,16958,375,254.25541905956555,1092954,267629
1,375,69,276,63872,375,253.05475715645107,145542,262691
1,375,28,112,26087,562,356.5448826933403,493620,275541
1,375,104,417,96783,562,400.0922445183503,10474,271121
